CustomerID,LookalikeID,SimilarityScore
C0001,C0190,0.990089092989598
C0001,C0048,0.9820849061056984
C0001,C0181,0.9527338756692904
C0002,C0088,0.9617578450420872
C0002,C0092,0.9327422632990475
C0002,C0134,0.9324618756134656
C0003,C0052,0.9968560243558833
C0003,C0031,0.9743029677047719
C0003,C0076,0.947300620154413
C0004,C0155,0.9831305178343874
C0004,C0165,0.9782873971698555
C0004,C0087,0.9406190554700082
C0005,C0186,0.997516900622886
C0005,C0007,0.9879718377762438
C0005,C0140,0.983887240125238
C0006,C0168,0.9680121172416953
C0006,C0187,0.9482595238372542
C0006,C0011,0.9402969385035259
C0007,C0005,0.9879718377762438
C0007,C0115,0.9849374252640979
C0007,C0186,0.9746281252149199
C0008,C0109,0.8667231007171219
C0008,C0065,0.8555727556600653
C0008,C0059,0.7914411287165602
C0009,C0062,0.9871180825113908
C0009,C0198,0.9846831014955544
C0009,C0010,0.9703608651162665
C0010,C0062,0.9750707168240124
C0010,C0009,0.9703608651162665
C0010,C0111,0.9640420606681662
C0011,C0137,0.9884231291178202
C0011,C0191,0.9612719404659552
C0011,C0187,0.9514267118442612
C0012,C0113,0.9714870552456307
C0012,C0104,0.9691898227820973
C0012,C0163,0.9614797446737605
C0013,C0099,0.9880626130808942
C0013,C0108,0.9650506638887725
C0013,C0141,0.8212762155197458
C0014,C0060,0.9993820432045849
C0014,C0089,0.9149784247491517
C0014,C0097,0.8795262487429202
C0015,C0036,0.9810928723910339
C0015,C0131,0.979191566233693
C0015,C0094,0.9258612601334788
C0016,C0183,0.9999588407945622
C0016,C0067,0.9521578227463858
C0016,C0034,0.9094172713567459
C0017,C0075,0.9773314362155703
C0017,C0041,0.9183531853275527
C0017,C0057,0.9107326025589202
C0018,C0117,0.9240174146041894
C0018,C0122,0.8761975023845836
C0018,C0046,0.875799425210714
C0019,C0081,0.8927625132456606
C0019,C0121,0.8302083533971581
C0019,C0070,0.7841468411485842
C0020,C0050,0.866128270147184
C0020,C0058,0.8640914183616587
C0020,C0033,0.8637647645572714
